publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Applied Artificial Intelligence	0883-9514	1087-6545	1996-02	10	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uaai20		uaai20		fulltext		Taylor & Francis	Serial								P
Cryptologia	0161-1194	1558-1586	1977-01	1	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ucry20		ucry20		fulltext		Taylor & Francis	Serial								P
Cybernetics and Systems	0196-9722	1087-6553	1996-02	27	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ucbs20		ucbs20		fulltext		Taylor & Francis	Serial							10.1080/ucbs19	P
EDPACS	0736-6981	1936-1009	1997-01	24	7				https://www.tandfonline.com/openurl?genre=journal&stitle=uedp20		uedp20		fulltext		Taylor & Francis	Serial								P
Human–Computer Interaction	0737-0024	1532-7051	1997-03	12	1-2				https://www.tandfonline.com/openurl?genre=journal&stitle=hhci20		hhci20		fulltext		Taylor & Francis	Serial								P
Information Security Journal: A Global Perspective	1939-3555	1939-3547	2008-03	17	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uiss20		uiss20		fulltext		Taylor & Francis	Serial							10.1080/uiss19	P
Information Strategy: The Executive's Journal	0743-8613		1997-03	13	3				https://www.tandfonline.com/openurl?genre=journal&stitle=uzis20		uzis20		fulltext		Taylor & Francis	Serial								P
Information Systems Management	1058-0530	1934-8703	1997-01	14	1				https://www.tandfonline.com/openurl?genre=journal&stitle=uism20		uism20		fulltext		Taylor & Francis	Serial							10.1080/uism19	P
Information Systems Security	1065-898X	1934-869X	1997-01	6	1	2007-12	16	6	https://www.tandfonline.com/openurl?genre=journal&stitle=uiss19		uiss19		fulltext		Taylor & Francis	Serial								P
International Journal for Computational Methods in Engineering Science and Mechanics	1550-2287	1550-2295	2005-01	6	1				https://www.tandfonline.com/openurl?genre=journal&stitle=ucme20		ucme20		fulltext		Taylor & Francis	Serial								P
International Journal of Human–Computer Interaction	1044-7318	1532-7590	1997-03	9	1				https://www.tandfonline.com/openurl?genre=journal&stitle=hihc20		hihc20		fulltext		Taylor & Francis	Serial								P
Journal of Organizational Computing and Electronic Commerce	1091-9392	1532-7744	1997-03	7	1				https://www.tandfonline.com/openurl?genre=journal&stitle=hoce20		hoce20		fulltext		Taylor & Francis	Serial							10.1080/hoce19	P
Spatial Cognition & Computation	1387-5868	1542-7633	2003-03	3	1				https://www.tandfonline.com/openurl?genre=journal&stitle=hscc20		hscc20		fulltext		Taylor & Francis	Serial								P
